time,hour,DA_Price,Solar,Wind,Index_Price,High_Price,Low_Price
29,5,70.0,0.0,34437.99721040004,69.006,230.72173100354013,67.0
30,6,70.0,0.0,39819.907424042474,69.006,250.37238944253698,-19.5
31,7,70.0,0.0,39293.190409563,69.006,250.9677250708407,-85.0
32,8,70.0,0.0,39840.940539173745,69.006,255.02821723883534,-6.5
33,9,70.0,335.6935738996758,41782.575253355375,69.006,263.71893600877877,68.0
34,10,70.0,2312.5208718235463,39376.92182001731,69.006,259.0493862600289,-11.5
35,11,70.0,5162.824288277617,36090.5243619406,69.006,251.89057443114606,69.0
36,12,70.0,7467.757198664185,41236.5847812858,69.006,271.7072003135097,6.5
37,13,70.0,8180.967268167125,41850.467369954975,69.006,276.26768010990804,68.0
38,14,70.0,7531.350466824942,41089.691785367904,69.006,275.8470308954751,69.0
39,15,70.0,5284.587659737812,38031.22476049379,69.006,267.3742740918071,67.0
40,16,70.0,2198.960393346438,37363.54488533284,69.006,266.2745823333237,68.0
41,17,70.0,258.4998694903026,41698.29897432233,69.006,281.7680971397246,67.0
42,18,70.0,0.00027257540489944025,43340.86901880968,69.006,289.2554666952366,67.0
43,19,70.0,0.0,49146.92220021977,69.006,310.2739860957088,36.5
44,20,70.0,0.0,51445.775729065725,69.006,319.981786726237,68.0
45,21,70.0,0.0,53082.40223990899,69.006,327.55390522370647,-20.5
46,22,70.0,0.0,47699.30940241482,69.006,312.4874288227878,68.0
47,23,70.0,0.0,55045.44434034184,69.006,338.47271199760246,16.5
48,24,70.0,0.0,57216.7134704172,69.006,347.76905294209547,67.0
49,1,70.0,0.0,56446.89723879406,69.006,292.52444159511083,-145.5
50,2,60.0,0.0,60016.09875531492,59.148,290.8735144858906,59.0
51,3,70.0,0.0,54539.60353670751,69.006,290.9614154058817,-47.5
52,4,50.0,0.0,61904.641832475616,49.29,286.0964619097339,48.0
53,5,50.0,0.0,59848.03895495399,49.29,281.7579156297266,1.5
54,6,60.0,0.0,59482.989816080146,59.148,298.3302301568585,59.0
55,7,70.0,0.0,61823.56777287662,69.006,323.6281920675271,24.5
56,8,70.0,188.34979310804877,65367.13040017016,69.006,337.4258961573782,67.0
57,9,70.0,1416.0581743540856,64674.87516565395,69.006,337.98090979532435,-94.5
58,10,70.0,4072.3321382813006,64987.233136979965,69.006,342.3500843863494,67.0
59,11,70.0,6871.639916115331,66528.26052631368,69.006,350.73921744364,-32.5
60,12,70.0,9324.183186306098,68504.51583269719,69.006,360.3925612013435,67.0
61,13,60.0,10324.4170796444,68879.05224112848,59.148,348.8409331436564,7.0
62,14,70.0,9792.329731491618,66853.02750436493,69.006,359.8427022536365,68.0
63,15,70.0,7512.354123255498,65464.861958651425,69.006,356.74331617419955,7.5
64,16,70.0,4158.029113552445,67447.7988990932,69.006,364.0838471532237,23.5
65,17,70.0,1368.5967527859143,74954.73199518694,69.006,389.4663525790978,69.0
66,18,70.0,182.62597651126387,69957.37871615867,69.006,375.1671260021692,-29.5
67,19,70.0,0.0,78847.1656396341,69.006,406.05727118782,67.0
68,20,70.0,0.0,79532.4876447927,69.006,410.56143265445644,18.5
69,21,60.0,0.0,79939.59468905177,59.148,398.7127508721919,57.0
70,22,70.0,0.0,73223.22600024258,69.006,394.80205985078226,69.0
71,23,70.0,0.0,70360.16045965569,69.006,387.8626714823896,41.5
72,24,70.0,0.0,63648.735488513135,69.006,368.51232395045486,-34.5
73,1,50.0,0.0,71522.56403299044,49.29,310.2322670063942,49.0
74,2,30.0,0.0,70456.20322030783,29.574,278.17605138549277,-20.5
75,3,0.0,0.0,68842.53264794566,0.0,228.89916178962474,-126.0
76,4,0.0,0.0,67572.79264428189,0.0,227.0982482778091,-162.0
77,5,50.0,0.0,63350.58161577571,49.29,293.05361571087667,47.0
78,6,70.0,0.0,56150.33956302417,69.006,303.03803309075295,-15.5
79,7,70.0,0.0,63948.796696041114,69.006,330.4820553447326,69.0
80,8,70.0,53.42483278239731,63215.876999470034,69.006,330.4338641060694,69.0
81,9,70.0,343.57891567335355,59908.13795918832,69.006,322.177045642483,-106.5
82,10,70.0,1743.1846950105514,57146.23456790937,69.006,316.126546728902,34.5
83,11,70.0,4069.4763631809697,56537.006586066076,69.006,317.39095373806185,67.0
